0 106 0.255771
0 192 0.324911
0 279 0.228809
1 14 0.467769
1 40 0.517184
1 52 0.265112
1 171 0.383718
2 0 0.479128
2 768 0.189369
3 11 0.238761
3 103 0.247276
3 308 0.259825
3 655 0.180468
3 1278 0.173266
4 14 0.320276
4 103 0.266981
4 129 0.114390
5 15 0.222564
5 38 0.303585
5 55 0.143316
5 230 0.190658
6 40 0.585131
6 44 0.341889
6 263 0.241899
6 896 0.198680
7 308 0.262554
7 417 0.255351
7 586 0.224048
8 70 0.503421
8 75 0.382895
9 40 0.513320
9 595 0.159697
10 154 0.288261
10 195 0.327266
10 263 0.420223
10 267 0.463332
11 99 0.452691
11 298 0.353700
11 611 0.267519
12 40 0.556381
12 126 0.435554
12 224 0.324915
12 896 0.202530
12 1652 0.230193
13 103 0.352545
13 261 0.214639
13 562 0.203498
14 106 0.217472
14 107 0.250363
14 253 0.111197
14 412 0.286362
15 49 0.290210
15 71 0.255214
15 365 0.244003
15 417 0.169460
15 989 0.123518
16 0 0.547350
16 14 0.419314
16 53 0.356648
16 146 0.202253
16 267 0.321328
17 519 0.135326
18 19 0.226829
18 103 0.191284
18 107 0.263440
18 138 0.103169
19 14 0.581499
19 24 0.490400
19 38 0.358375
19 70 0.536745
19 107 0.479639
19 226 0.266560
20 83 0.153368
20 117 0.143807
20 165 0.176963
20 225 0.126445
20 380 0.197004
20 843 0.132835
21 53 0.363213
21 232 0.227792
21 279 0.259021
21 365 0.330462
22 48 0.707370
22 67 0.305513
22 113 0.292055
22 158 0.172102
23 38 0.337493
23 497 0.232397
23 562 0.157251
23 605 0.152909
23 813 0.177426
24 136 0.170544
24 224 0.324603
24 229 0.299691
24 663 0.149304
24 877 0.133580
24 1070 0.198875
25 267 0.209760
25 294 0.230463
26 65 0.240126
26 108 0.438659
26 146 0.150764
26 181 0.124539
26 230 0.142576
26 308 0.171356
26 384 0.113043
26 1606 0.126620
27 113 0.375944
27 150 0.232710
27 267 0.285298
27 373 0.146768
28 234 0.128698
28 244 0.305019
28 800 0.197146
29 28 0.258972
29 40 0.651850
29 65 0.322216
29 68 0.288904
29 171 0.411296
29 402 0.178026
30 308 0.154082
31 38 0.311937
31 837 0.156189
32 4 0.629000
32 25 0.351205
32 35 0.590854
32 229 0.450114
32 290 0.357340
32 798 0.272757
33 45 0.246049
33 224 0.239566
33 967 0.220274
33 1539 0.127857
34 14 0.189482
34 75 0.272472
34 99 0.226981
34 116 0.184043
34 146 0.196747
34 260 0.167386
34 519 0.275706
34 546 0.172817
35 56 0.294967
35 126 0.310690
36 18 0.278863
36 77 0.328988
36 192 0.270292
36 550 0.223988
36 750 0.257921
36 753 0.197184
36 786 0.177808
36 860 0.218585
37 40 0.455305
37 75 0.356098
37 308 0.245838
37 581 0.276489
37 1089 0.217009
38 40 0.547414
38 109 0.140858
38 113 0.489115
39 72 0.465673
39 488 0.224876
39 534 0.297448
39 1182 0.304062
40 0 0.434493
40 495 0.139807
40 1557 0.123498
41 101 0.188789
41 317 0.140086
42 65 0.250211
42 409 0.208931
42 910 0.136916
43 0 0.613466
43 14 0.415171
43 655 0.224297
43 796 0.131533
43 812 0.199727
44 267 0.256392
45 307 0.270864
45 1682 0.130437
46 0 0.611192
46 6 0.354414
46 10 0.286350
46 25 0.325235
46 35 0.610292
46 41 0.442307
46 79 0.359990
46 519 0.237122
47 65 0.445461
47 66 0.228718
47 519 0.329162
47 675 0.274086
48 89 0.104004
48 106 0.147946
48 171 0.291334
48 172 0.159366
48 263 0.239104
48 605 0.146106
49 41 0.371013
49 78 0.131228
49 108 0.294122
49 246 0.173428
49 860 0.104343
50 48 0.660338
50 297 0.145160
50 412 0.225135
50 911 0.149107
51 298 0.280479
52 113 0.429877
52 137 0.176558
52 493 0.175469
53 78 0.277849
53 165 0.263586
53 207 0.227096
53 431 0.164316
53 1283 0.208892
54 107 0.494766
54 305 0.205248
55 4 0.735075
55 126 0.251171
55 488 0.061792
55 1165 0.086130
56 126 0.483419
56 171 0.333752
56 308 0.339752
56 689 0.189032
57 13 0.276075
57 53 0.357635
57 65 0.308940
57 126 0.273612
58 62 0.256940
58 331 0.178411
59 56 0.673960
59 263 0.272268
60 45 0.288975
60 110 0.133110
60 146 0.215962
61 14 0.286297
61 113 0.360230
61 489 0.144846
61 1184 0.147161
62 35 0.669542
62 38 0.247366
62 70 0.445339
62 278 0.233439
62 365 0.220456
63 85 0.260016
63 158 0.186371
64 70 0.514038
64 472 0.147271
65 56 0.478021
65 75 0.294556
65 113 0.422355
65 208 0.143510
65 574 0.129137
65 796 0.136241
66 2 0.537518
66 4 0.846374
66 14 0.636090
66 38 0.451884
66 58 0.326702
66 81 0.267112
66 246 0.365958
67 8 0.299674
67 267 0.261550
67 310 0.259104
68 165 0.248896
68 173 0.230826
68 263 0.291693
68 267 0.347622
68 681 0.137859
69 110 0.316470
69 460 0.268420
70 0 0.528801
70 14 0.398612
70 107 0.525688
70 224 0.374689
71 22 0.241509
71 229 0.252723
71 953 0.143938
72 10 0.248584
72 38 0.380374
72 41 0.166162
72 64 0.153195
72 91 0.321437
72 195 0.215942
72 207 0.261412
72 279 0.208742
72 634 0.225997
72 1014 0.197339
73 108 0.402652
73 126 0.515568
73 193 0.186944
73 224 0.298394
73 860 0.194796
74 4 0.682027
74 24 0.257299
74 294 0.233298
74 373 0.210507
74 525 0.072419
75 2 0.323319
75 58 0.140563
75 95 0.297295
75 108 0.377109
75 567 0.309149
75 865 0.230299
76 8 0.396242
76 38 0.300067
76 41 0.565200
76 113 0.459395
76 700 0.168176
77 108 0.306451
78 22 0.483314
78 44 0.436230
78 82 0.315395
78 113 0.530822
78 126 0.501431
79 25 0.255997
79 113 0.464310
79 229 0.344109
79 451 0.276781
79 503 0.208408
79 642 0.243978
79 758 0.246035
79 1165 0.238565
79 1392 0.250943
80 10 0.247546
80 41 0.355488
80 267 0.286715
80 355 0.092726
80 902 0.150334
81 12 0.899019
81 40 0.562261
81 107 0.658309
81 126 0.504532
81 354 0.471571
81 911 0.322889
82 0 0.729338
82 70 0.630946
82 273 0.346798
83 10 0.360744
83 20 0.340248
83 267 0.406950
83 634 0.205290
84 283 0.266439
84 373 0.284951
84 1427 0.215666
85 6 0.356574
85 13 0.484315
85 41 0.398509
85 48 0.626246
85 126 0.447683
85 229 0.288343
85 920 0.102536
86 45 0.375163
86 70 0.363691
86 126 0.189771
86 136 0.063452
86 785 0.140398
87 20 0.323001
87 40 0.577760
87 45 0.256406
87 56 0.526350
87 103 0.245373
87 672 0.115453
87 1056 0.198142
88 14 0.699844
88 19 0.409265
88 20 0.442523
88 30 0.282458
88 48 0.813180
88 71 0.570187
88 322 0.236318
88 341 0.376235
88 426 0.293701
88 755 0.287647
89 75 0.371626
89 150 0.303720
